config,cache_kb,trial,workload,mode,ticks,ms
default,0.5,0,arith,interp,21568000,21.5680
default,0.5,0,arith,jit-on,2336328000,2336.3280
default,0.5,0,memmix,interp,18573000,18.5730
default,0.5,0,memmix,jit-on,2615000,2.6150
default,0.5,0,calltree,interp,20104000,20.1040
default,0.5,0,calltree,jit-on,4689570000,4689.5700
default,0.5,0,countloop,interp,22353000,22.3530
default,0.5,0,countloop,jit-on,473115000,473.1150
default,0.5,0,nqueens,interp,18693000,18.6930
default,0.5,0,nqueens,jit-on,1863552000,1863.5520
default,0.5,1,arith,interp,22334000,22.3340
default,0.5,1,arith,jit-on,2535638000,2535.6380
default,0.5,1,memmix,interp,18346000,18.3460
default,0.5,1,memmix,jit-on,2640000,2.6400
default,0.5,1,calltree,interp,19805000,19.8050
default,0.5,1,calltree,jit-on,4721835000,4721.8350
default,0.5,1,countloop,interp,23192000,23.1920
default,0.5,1,countloop,jit-on,477317000,477.3170
default,0.5,1,nqueens,interp,18673000,18.6730
default,0.5,1,nqueens,jit-on,1871190000,1871.1900
default,1,0,arith,interp,22034000,22.0340
default,1,0,arith,jit-on,1664000,1.6640
default,1,0,memmix,interp,18100000,18.1000
default,1,0,memmix,jit-on,2580000,2.5800
default,1,0,memmix,jit-warm,2054000,2.0540
default,1,0,calltree,interp,19383000,19.3830
default,1,0,calltree,jit-on,2548000,2.5480
default,1,0,calltree,jit-warm,1899000,1.8990
default,1,0,countloop,interp,22206000,22.2060
default,1,0,countloop,jit-on,9010000,9.0100
default,1,0,nqueens,interp,18608000,18.6080
default,1,0,nqueens,jit-on,325867000,325.8670
default,1,1,arith,interp,22071000,22.0710
default,1,1,arith,jit-on,1692000,1.6920
default,1,1,memmix,interp,19651000,19.6510
default,1,1,memmix,jit-on,2633000,2.6330
default,1,1,memmix,jit-warm,2057000,2.0570
default,1,1,calltree,interp,19756000,19.7560
default,1,1,calltree,jit-on,2534000,2.5340
default,1,1,calltree,jit-warm,1901000,1.9010
default,1,1,countloop,interp,22993000,22.9930
default,1,1,countloop,jit-on,9266000,9.2660
default,1,1,nqueens,interp,18850000,18.8500
default,1,1,nqueens,jit-on,329631000,329.6310
default,2,0,arith,interp,22112000,22.1120
default,2,0,arith,jit-on,1660000,1.6600
default,2,0,arith,jit-warm,951000,0.9510
default,2,0,memmix,interp,18641000,18.6410
default,2,0,memmix,jit-on,2656000,2.6560
default,2,0,memmix,jit-warm,2076000,2.0760
default,2,0,calltree,interp,19682000,19.6820
default,2,0,calltree,jit-on,2500000,2.5000
default,2,0,calltree,jit-warm,1958000,1.9580
default,2,0,countloop,interp,22916000,22.9160
default,2,0,countloop,jit-on,1538000,1.5380
default,2,0,countloop,jit-warm,1083000,1.0830
default,2,0,nqueens,interp,18705000,18.7050
default,2,0,nqueens,jit-on,3616000,3.6160
default,2,0,nqueens,jit-warm,2773000,2.7730
default,2,1,arith,interp,22171000,22.1710
default,2,1,arith,jit-on,1689000,1.6890
default,2,1,arith,jit-warm,1011000,1.0110
default,2,1,memmix,interp,20195000,20.1950
default,2,1,memmix,jit-on,2629000,2.6290
default,2,1,memmix,jit-warm,2036000,2.0360
default,2,1,calltree,interp,19885000,19.8850
default,2,1,calltree,jit-on,2549000,2.5490
default,2,1,calltree,jit-warm,1931000,1.9310
default,2,1,countloop,interp,22942000,22.9420
default,2,1,countloop,jit-on,1529000,1.5290
default,2,1,countloop,jit-warm,1084000,1.0840
default,2,1,nqueens,interp,18531000,18.5310
default,2,1,nqueens,jit-on,3494000,3.4940
default,2,1,nqueens,jit-warm,2662000,2.6620
default,4,0,arith,interp,22408000,22.4080
default,4,0,arith,jit-on,1667000,1.6670
default,4,0,arith,jit-warm,948000,0.9480
default,4,0,memmix,interp,19618000,19.6180
default,4,0,memmix,jit-on,2601000,2.6010
default,4,0,memmix,jit-warm,2093000,2.0930
default,4,0,calltree,interp,20292000,20.2920
default,4,0,calltree,jit-on,2565000,2.5650
default,4,0,calltree,jit-warm,1915000,1.9150
default,4,0,countloop,interp,22878000,22.8780
default,4,0,countloop,jit-on,1500000,1.5000
default,4,0,countloop,jit-warm,1087000,1.0870
default,4,0,nqueens,interp,19510000,19.5100
default,4,0,nqueens,jit-on,3544000,3.5440
default,4,0,nqueens,jit-warm,2720000,2.7200
default,4,1,arith,interp,22207000,22.2070
default,4,1,arith,jit-on,1712000,1.7120
default,4,1,arith,jit-warm,962000,0.9620
default,4,1,memmix,interp,19837000,19.8370
default,4,1,memmix,jit-on,2635000,2.6350
default,4,1,memmix,jit-warm,2062000,2.0620
default,4,1,calltree,interp,20289000,20.2890
default,4,1,calltree,jit-on,2559000,2.5590
default,4,1,calltree,jit-warm,1944000,1.9440
default,4,1,countloop,interp,23314000,23.3140
default,4,1,countloop,jit-on,1497000,1.4970
default,4,1,countloop,jit-warm,1072000,1.0720
default,4,1,nqueens,interp,18951000,18.9510
default,4,1,nqueens,jit-on,3607000,3.6070
default,4,1,nqueens,jit-warm,2756000,2.7560
default,8,0,arith,interp,21989000,21.9890
default,8,0,arith,jit-on,1649000,1.6490
default,8,0,arith,jit-warm,949000,0.9490
default,8,0,memmix,interp,19502000,19.5020
default,8,0,memmix,jit-on,2648000,2.6480
default,8,0,memmix,jit-warm,2070000,2.0700
default,8,0,calltree,interp,19694000,19.6940
default,8,0,calltree,jit-on,2538000,2.5380
default,8,0,calltree,jit-warm,1941000,1.9410
default,8,0,countloop,interp,22666000,22.6660
default,8,0,countloop,jit-on,1517000,1.5170
default,8,0,countloop,jit-warm,1100000,1.1000
default,8,0,nqueens,interp,18772000,18.7720
default,8,0,nqueens,jit-on,3559000,3.5590
default,8,0,nqueens,jit-warm,2697000,2.6970
default,8,1,arith,interp,21895000,21.8950
default,8,1,arith,jit-on,1676000,1.6760
default,8,1,arith,jit-warm,977000,0.9770
default,8,1,memmix,interp,18916000,18.9160
default,8,1,memmix,jit-on,2615000,2.6150
default,8,1,memmix,jit-warm,2053000,2.0530
default,8,1,calltree,interp,19264000,19.2640
default,8,1,calltree,jit-on,2526000,2.5260
default,8,1,calltree,jit-warm,1912000,1.9120
default,8,1,countloop,interp,22340000,22.3400
default,8,1,countloop,jit-on,1486000,1.4860
default,8,1,countloop,jit-warm,1116000,1.1160
default,8,1,nqueens,interp,18410000,18.4100
default,8,1,nqueens,jit-on,3492000,3.4920
default,8,1,nqueens,jit-warm,2676000,2.6760
default,16,0,arith,interp,22015000,22.0150
default,16,0,arith,jit-on,1645000,1.6450
default,16,0,arith,jit-warm,986000,0.9860
default,16,0,memmix,interp,19467000,19.4670
default,16,0,memmix,jit-on,2640000,2.6400
default,16,0,memmix,jit-warm,2052000,2.0520
default,16,0,calltree,interp,20051000,20.0510
default,16,0,calltree,jit-on,2519000,2.5190
default,16,0,calltree,jit-warm,1915000,1.9150
default,16,0,countloop,interp,22858000,22.8580
default,16,0,countloop,jit-on,1559000,1.5590
default,16,0,countloop,jit-warm,1093000,1.0930
default,16,0,nqueens,interp,18703000,18.7030
default,16,0,nqueens,jit-on,3561000,3.5610
default,16,0,nqueens,jit-warm,2721000,2.7210
default,16,1,arith,interp,22710000,22.7100
default,16,1,arith,jit-on,1680000,1.6800
default,16,1,arith,jit-warm,959000,0.9590
default,16,1,memmix,interp,19404000,19.4040
default,16,1,memmix,jit-on,2604000,2.6040
default,16,1,memmix,jit-warm,2073000,2.0730
default,16,1,calltree,interp,20156000,20.1560
default,16,1,calltree,jit-on,2528000,2.5280
default,16,1,calltree,jit-warm,1951000,1.9510
default,16,1,countloop,interp,23754000,23.7540
default,16,1,countloop,jit-on,1508000,1.5080
default,16,1,countloop,jit-warm,1083000,1.0830
default,16,1,nqueens,interp,18765000,18.7650
default,16,1,nqueens,jit-on,3553000,3.5530
default,16,1,nqueens,jit-warm,2767000,2.7670
default,32,0,arith,interp,21513000,21.5130
default,32,0,arith,jit-on,1615000,1.6150
default,32,0,arith,jit-warm,973000,0.9730
default,32,0,memmix,interp,18603000,18.6030
default,32,0,memmix,jit-on,2714000,2.7140
default,32,0,memmix,jit-warm,2056000,2.0560
default,32,0,calltree,interp,20074000,20.0740
default,32,0,calltree,jit-on,2607000,2.6070
default,32,0,calltree,jit-warm,1987000,1.9870
default,32,0,countloop,interp,22229000,22.2290
default,32,0,countloop,jit-on,1541000,1.5410
default,32,0,countloop,jit-warm,1075000,1.0750
default,32,0,nqueens,interp,18582000,18.5820
default,32,0,nqueens,jit-on,3546000,3.5460
default,32,0,nqueens,jit-warm,2684000,2.6840
default,32,1,arith,interp,22357000,22.3570
default,32,1,arith,jit-on,1699000,1.6990
default,32,1,arith,jit-warm,992000,0.9920
default,32,1,memmix,interp,18571000,18.5710
default,32,1,memmix,jit-on,2641000,2.6410
default,32,1,memmix,jit-warm,2055000,2.0550
default,32,1,calltree,interp,19561000,19.5610
default,32,1,calltree,jit-on,2571000,2.5710
default,32,1,calltree,jit-warm,1908000,1.9080
default,32,1,countloop,interp,21694000,21.6940
default,32,1,countloop,jit-on,1502000,1.5020
default,32,1,countloop,jit-warm,1071000,1.0710
default,32,1,nqueens,interp,19268000,19.2680
default,32,1,nqueens,jit-on,3591000,3.5910
default,32,1,nqueens,jit-warm,2706000,2.7060
default,64,0,arith,interp,22425000,22.4250
default,64,0,arith,jit-on,1658000,1.6580
default,64,0,arith,jit-warm,958000,0.9580
default,64,0,memmix,interp,19577000,19.5770
default,64,0,memmix,jit-on,2630000,2.6300
default,64,0,memmix,jit-warm,2102000,2.1020
default,64,0,calltree,interp,20106000,20.1060
default,64,0,calltree,jit-on,2964000,2.9640
default,64,0,calltree,jit-warm,2328000,2.3280
default,64,0,countloop,interp,24389000,24.3890
default,64,0,countloop,jit-on,1556000,1.5560
default,64,0,countloop,jit-warm,1079000,1.0790
default,64,0,nqueens,interp,19146000,19.1460
default,64,0,nqueens,jit-on,3572000,3.5720
default,64,0,nqueens,jit-warm,2785000,2.7850
default,64,1,arith,interp,22176000,22.1760
default,64,1,arith,jit-on,1658000,1.6580
default,64,1,arith,jit-warm,944000,0.9440
default,64,1,memmix,interp,18270000,18.2700
default,64,1,memmix,jit-on,2639000,2.6390
default,64,1,memmix,jit-warm,2049000,2.0490
default,64,1,calltree,interp,19305000,19.3050
default,64,1,calltree,jit-on,2503000,2.5030
default,64,1,calltree,jit-warm,1920000,1.9200
default,64,1,countloop,interp,22091000,22.0910
